iter	Passed	Remaining
0	17	17796
1	32	16381
2	49	16439
3	64	16053
4	80	15963
5	95	15824
6	114	16308
7	130	16138
8	145	16021
9	160	15908
10	174	15705
11	189	15567
12	203	15461
13	218	15375
14	234	15397
15	249	15364
16	265	15331
17	279	15265
18	294	15222
19	310	15195
20	324	15133
21	347	15463
22	366	15587
23	382	15571
24	398	15537
25	414	15517
26	429	15473
27	447	15531
28	463	15521
29	480	15534
30	497	15550
31	512	15510
32	529	15516
33	546	15526
34	565	15583
35	581	15567
36	596	15532
37	614	15554
38	629	15515
39	648	15567
40	664	15534
41	679	15505
42	695	15485
43	712	15472
44	727	15443
45	741	15375
46	758	15370
47	773	15338
48	788	15310
49	805	15298
50	820	15276
51	836	15251
52	851	15222
53	867	15192
54	882	15162
55	898	15149
56	912	15096
57	928	15083
58	944	15064
59	959	15026
60	974	15004
61	990	14990
62	1007	14978
63	1023	14967
64	1039	14949
65	1055	14934
66	1070	14909
67	1086	14892
68	1101	14863
69	1117	14850
70	1132	14820
71	1148	14801
72	1166	14812
73	1183	14809
74	1198	14779
75	1212	14746
76	1228	14728
77	1245	14722
78	1260	14695
79	1276	14679
80	1291	14658
81	1308	14643
82	1324	14633
83	1339	14604
84	1356	14597
85	1372	14590
86	1388	14569
87	1403	14548
88	1419	14534
89	1436	14523
90	1452	14504
91	1466	14478
92	1482	14459
93	1499	14448
94	1516	14446
95	1531	14420
96	1548	14417
97	1565	14409
98	1581	14397
99	1597	14379
100	1613	14365
101	1629	14348
102	1646	14334
103	1660	14308
104	1676	14293
105	1692	14274
106	1710	14275
107	1726	14256
108	1741	14232
109	1756	14215
110	1773	14205
111	1789	14190
112	1807	14189
113	1823	14170
114	1840	14161
115	1857	14154
116	1873	14136
117	1887	14111
118	1903	14092
119	1920	14086
120	1937	14072
121	1952	14054
122	1968	14038
123	1984	14018
124	1999	13999
125	2016	13988
126	2033	13980
127	2049	13964
128	2067	13959
129	2084	13950
130	2100	13936
131	2116	13920
