iter	MultiClass
0	1.044435087
1	1.002739065
2	0.9656277873
3	0.933668599
4	0.9042843399
5	0.8794468474
6	0.8585825853
7	0.8409301603
8	0.8253998822
9	0.8109891907
10	0.7946813625
11	0.7808892246
12	0.7707111389
13	0.7618635179
14	0.7514079958
15	0.7430427483
16	0.7340425302
17	0.7272807435
18	0.719858426
19	0.7139361233
20	0.7093874892
21	0.7044653768
22	0.6979442756
23	0.6938475666
24	0.6892629838
25	0.6847591178
26	0.6813422692
27	0.6789430214
28	0.6762100187
29	0.6715602196
30	0.6660168248
31	0.66271335
32	0.6595311784
33	0.6554181344
34	0.6528932428
35	0.6518466599
36	0.6487897828
37	0.6452685104
38	0.6434387404
39	0.6397417861
40	0.636859757
41	0.6317244447
42	0.628794518
43	0.625938284
44	0.6233952069
45	0.621719401
46	0.6200419295
47	0.6184527623
48	0.6161146493
49	0.6134119705
50	0.6108294798
51	0.6089248698
52	0.6070029545
53	0.6041179177
54	0.602069207
55	0.598568444
56	0.5968103245
57	0.5939944334
58	0.5921243168
59	0.5895224252
60	0.5880754853
61	0.586485268
62	0.5841413715
63	0.5819020438
64	0.5799598609
65	0.5772449757
66	0.5760738112
67	0.5733356418
68	0.5712474201
69	0.5698042253
70	0.5682328471
71	0.5661536513
72	0.5637738926
73	0.5612142782
74	0.5588502189
75	0.5575164451
76	0.5547097118
77	0.5527030491
78	0.5501153333
79	0.5479176646
80	0.5463459549
81	0.5440146698
82	0.5418311746
83	0.5397750997
84	0.5368522409
85	0.5342109782
86	0.5315025824
87	0.5293494834
88	0.5270027436
89	0.5245977574
90	0.5220294501
91	0.5201210328
92	0.5187301834
93	0.5163961796
94	0.5149504671
95	0.5128561371
96	0.5096109954
97	0.5062144502
98	0.5047195637
99	0.502357169
100	0.4994488958
101	0.4970266512
102	0.4951550073
103	0.4914053997
104	0.4892355127
105	0.4874715704
106	0.4851669223
107	0.4814037359
108	0.4792143435
109	0.4770853958
110	0.4756976818
111	0.4738420661
112	0.4717695681
113	0.4692894605
114	0.4670633185
115	0.4649089704
116	0.4634102559
117	0.4609599952
118	0.4595611113
119	0.4578211401
120	0.4554865141
121	0.4537751214
122	0.4520308711
123	0.4491497028
124	0.44719468
125	0.4453140902
126	0.4440639443
127	0.4411616059
128	0.4389853745
129	0.4350680876
130	0.4326275452
131	0.4301952646
132	0.4277069417
133	0.424903827
134	0.4231683374
135	0.4218240193
136	0.4199885423
137	0.4174961814
138	0.4160235832
139	0.4150691483
140	0.4134560846
141	0.4118560271
142	0.410279429
143	0.4086949262
144	0.4069126881
145	0.4056009012
146	0.4040659392
147	0.4010839254
148	0.3995452823
149	0.3991386163
150	0.3965053256
151	0.3952232763
152	0.3936612182
153	0.3915993622
154	0.3906223287
155	0.3886104405
156	0.3873313064
157	0.3854791893
