iter	MultiClass
0	1.062387427
1	1.03079791
2	1.002718339
3	0.9782059003
4	0.9525022515
5	0.9300254178
6	0.9121282704
7	0.896755609
8	0.8810469294
9	0.8683582153
10	0.8556508057
11	0.8414747533
12	0.8302434848
13	0.8183514269
14	0.806953149
15	0.7978754567
16	0.7856485303
17	0.774477697
18	0.7687135489
19	0.757619297
20	0.7488755235
21	0.7403319013
22	0.7319247459
23	0.7229413807
24	0.7169300426
25	0.7085770241
26	0.7024286194
27	0.6955759859
28	0.6888277771
29	0.682146502
30	0.6756049929
31	0.6687850015
32	0.6624717869
33	0.6566121119
34	0.6510437162
35	0.6456149864
36	0.6401499155
37	0.6353080931
38	0.6308158356
39	0.6248403888
40	0.6197809193
41	0.6154685181
42	0.612142227
43	0.6078403732
44	0.6029073729
45	0.5991795795
46	0.5946624281
47	0.589370965
48	0.586402087
49	0.5824250542
50	0.5789416514
51	0.5755044373
52	0.5719507016
53	0.5676701426
54	0.5641772921
55	0.5604336025
56	0.5567644449
57	0.553938982
58	0.5508266889
59	0.5475260417
60	0.5413965324
61	0.5381287271
62	0.532697248
63	0.5278462278
64	0.5238307544
65	0.5202412273
66	0.5171639757
67	0.5138112911
68	0.5104570069
69	0.5070801281
70	0.5052415253
71	0.502565626
72	0.5002277946
73	0.4965112485
74	0.4939838631
75	0.4918237885
76	0.489617725
77	0.4866150052
78	0.4838211347
79	0.4806652022
80	0.4777244174
81	0.4751998314
82	0.4725357793
83	0.4694730242
84	0.4661190898
85	0.4638583896
86	0.4602066277
87	0.4584853464
88	0.4541721453
89	0.4512747
90	0.4475973443
91	0.445657866
92	0.4432209087
93	0.4411475129
94	0.4381532411
95	0.4366073671
96	0.4332300385
97	0.4302539622
98	0.4287020897
99	0.4270175493
100	0.4249648985
101	0.4237010559
102	0.4225742299
103	0.4202586431
104	0.4182896969
105	0.4156800566
106	0.4138356552
107	0.4108720759
108	0.4091933592
109	0.406562474
110	0.4031938683
111	0.3992520519
112	0.3972097236
113	0.3958591271
114	0.3941657639
115	0.3926543815
116	0.3891101184
117	0.387105356
118	0.3850932453
119	0.381130584
120	0.3787904282
121	0.3759755128
122	0.3732951396
123	0.371389628
124	0.3689695166
125	0.3676343413
126	0.3665979434
127	0.3648853599
128	0.3636031217
129	0.3622176587
130	0.3606189475
131	0.3580258281
132	0.3552361566
133	0.3535267723
134	0.3514733717
135	0.3494689342
136	0.3473198318
137	0.3456735322
138	0.3445428072
139	0.3421066497
140	0.3408640019
141	0.3390423449
142	0.3380896266
143	0.336636505
144	0.3342643069
145	0.3330845188
146	0.3305300151
147	0.3284676917
148	0.3269814281
149	0.3255367545
150	0.3231351635
151	0.3212609443
152	0.3189873973
153	0.3163769571
154	0.3142121336
155	0.3115610534
156	0.3087995499
157	0.3078088659
158	0.3063884363
159	0.3053541379
160	0.3041092406
161	0.3027528705
162	0.301735268
163	0.3009272645
164	0.2997895412
165	0.2977857285
166	0.2966183374
167	0.2953950849
168	0.2941625097
169	0.292508212
170	0.2913067542
171	0.2901463364
172	0.2894003678
173	0.2881433235
174	0.2866104963
175	0.2855175371
176	0.2845981357
177	0.2833043004
178	0.2815216839
179	0.2802482936
180	0.2794388905
181	0.2787715528
182	0.2770878622
183	0.2761251214
184	0.2754175185
185	0.2745175873
186	0.2733997592
187	0.2726181993
188	0.2712924217
189	0.2702010621
190	0.2692179262
191	0.2683239436
192	0.2677474088
193	0.2666751446
194	0.2660429234
195	0.2652272967
196	0.2639252134
197	0.2632470783
198	0.2618904582
199	0.2608898016
200	0.2599470059
201	0.2589805659
202	0.2579104012
203	0.2569975482
204	0.2557694469
205	0.255357772
206	0.2542464673
207	0.2532756534
208	0.2521823692
209	0.2505445176
210	0.2493523075
211	0.2485474533
212	0.2476372246
213	0.2463251687
214	0.2449760718
215	0.2443820663
216	0.2437548188
217	0.2429658357
218	0.2422777531
219	0.2405887138
220	0.2398681141
221	0.2392538635
222	0.2381626538
223	0.237680846
224	0.236570916
225	0.2358850827
226	0.2347864499
227	0.2339401807
228	0.2333322036
229	0.2327099299
230	0.2317045744
231	0.2313089457
232	0.230501642
233	0.2292296014
234	0.2276835274
235	0.2270562799
236	0.2256711668
237	0.2250856342
238	0.2241137455
239	0.2234617541
240	0.2226902667
241	0.2220059082
242	0.2216216516
243	0.2211165744
244	0.2202024968
245	0.2195078157
246	0.219062424
247	0.2181648173
248	0.2175556405
249	0.2170587613
250	0.2162689034
251	0.2158614025
252	0.2151031119
253	0.2142871854
254	0.2131391146
255	0.2125059685
256	0.2122636525
257	0.2108493464
258	0.2096004752
259	0.2088257261
260	0.20773038
261	0.2070157663
262	0.20620875
263	0.2055792281
264	0.2045317329
265	0.2039345531
266	0.2030957946
267	0.2025278327
268	0.202000311
269	0.2014180901
270	0.2008996662
271	0.2001889765
272	0.199666866
273	0.1986860046
274	0.1982146817
275	0.197446531
276	0.1969442407
277	0.1961522958
278	0.1954123882
279	0.1950416034
280	0.1945933624
281	0.1938892086
282	0.193244428
283	0.192896775
284	0.1919636144
285	0.1909836028
286	0.1901466063
287	0.1894307429
288	0.1890527849
289	0.1879723226
290	0.1875907029
291	0.1864931199
292	0.1860584006
293	0.185220092
294	0.1846126647
295	0.1838419896
296	0.1832182913
297	0.1821964773
298	0.1814354749
299	0.1810249872
300	0.1804901298
301	0.1797914122
302	0.1792242502
303	0.1786178101
304	0.1780391509
305	0.1775444837
306	0.1767465277
307	0.1760994726
308	0.1755614535
309	0.1751091759
310	0.1742684179
311	0.1737276494
312	0.1732181483
313	0.1726234305
314	0.1717445942
315	0.1714143745
316	0.1709640965
317	0.1706149689
318	0.1701608419
319	0.1693777323
320	0.1686585572
321	0.168213428
322	0.1676920798
323	0.1673241568
324	0.166807245
325	0.1661101645
326	0.1656419409
327	0.1652079089
328	0.1645614037
329	0.1635502871
330	0.1626124901
331	0.1621145113
332	0.1613946488
333	0.1607713504
334	0.160265336
335	0.1598421764
336	0.1594048078
337	0.1589013302
338	0.1582578617
339	0.1578171064
340	0.157401295
341	0.1570306102
342	0.1566437792
343	0.1564557625
344	0.1559428997
345	0.1554591548
346	0.1550025034
347	0.1545500134
348	0.1539815642
349	0.1537051689
350	0.1533008297
351	0.1530344695
352	0.1524028231
353	0.1516102534
354	0.1513533284
355	0.1506768054
356	0.1501511332
357	0.1497586787
358	0.1494706987
359	0.1491146478
360	0.1487114334
361	0.1483863874
362	0.1478810603
363	0.1473629988
364	0.1467954368
365	0.1459049659
366	0.1457141748
367	0.1452366285
368	0.1448667684
369	0.144212615
