iter	Passed	Remaining
0	15	15263
1	28	14180
2	42	14254
3	56	13971
4	69	13740
5	84	14026
6	97	13899
7	112	13923
8	127	14078
9	140	13938
10	154	13882
11	167	13805
12	182	13823
13	197	13936
14	211	13858
15	226	13952
16	241	13956
17	254	13901
18	268	13843
19	282	13829
20	295	13755
21	309	13769
22	322	13703
23	336	13675
24	349	13647
25	363	13598
26	375	13546
27	391	13579
28	403	13518
29	416	13459
30	431	13483
31	446	13514
32	460	13487
33	474	13489
34	487	13443
35	501	13431
36	515	13419
37	529	13415
38	543	13400
39	556	13365
40	570	13349
41	584	13327
42	597	13288
43	610	13271
44	623	13231
45	636	13200
46	648	13158
47	662	13133
48	675	13103
49	688	13074
50	701	13055
51	715	13050
52	729	13027
53	745	13056
54	758	13031
55	773	13041
56	787	13026
57	801	13015
58	815	13011
59	831	13030
60	847	13041
61	860	13013
62	873	12997
63	889	13013
64	905	13018
65	918	12996
66	931	12972
67	946	12978
68	959	12949
69	974	12940
70	987	12927
71	1002	12926
72	1016	12907
73	1030	12892
74	1044	12876
75	1058	12873
76	1073	12871
77	1089	12881
78	1103	12867
79	1116	12845
80	1132	12850
81	1145	12823
82	1160	12826
83	1174	12806
84	1187	12780
85	1201	12766
86	1214	12744
87	1227	12724
88	1242	12715
89	1254	12684
90	1268	12674
91	1284	12678
92	1298	12664
93	1312	12653
94	1325	12631
95	1339	12615
96	1353	12599
97	1366	12574
98	1378	12550
99	1393	12543
100	1407	12532
101	1422	12522
102	1435	12499
103	1450	12497
104	1463	12478
105	1478	12467
106	1492	12452
107	1506	12443
108	1520	12425
109	1534	12412
110	1547	12395
111	1560	12372
112	1574	12362
113	1588	12346
114	1602	12330
115	1614	12304
116	1628	12287
117	1641	12270
118	1655	12254
119	1667	12228
120	1682	12219
121	1694	12198
122	1708	12178
123	1720	12155
124	1733	12134
125	1745	12110
126	1759	12092
127	1771	12070
128	1787	12066
129	1799	12046
130	1814	12035
131	1829	12030
132	1844	12025
133	1858	12008
134	1871	11991
135	1885	11978
136	1899	11968
137	1913	11952
138	1926	11935
139	1939	11915
140	1953	11902
141	1967	11889
142	1980	11870
143	1993	11852
144	2006	11831
145	2020	11819
146	2035	11809
147	2048	11791
148	2060	11770
149	2073	11749
150	2086	11731
151	2099	11711
152	2115	11711
153	2128	11694
154	2142	11678
155	2157	11674
156	2171	11657
157	2184	11643
158	2197	11621
159	2209	11601
160	2223	11586
161	2238	11581
162	2252	11564
163	2264	11545
164	2279	11535
165	2294	11525
166	2307	11509
167	2320	11493
168	2333	11476
169	2346	11457
170	2360	11443
171	2375	11434
172	2389	11423
173	2404	11414
174	2416	11393
175	2432	11387
176	2445	11370
177	2459	11357
178	2472	11339
179	2486	11327
180	2499	11307
181	2511	11288
182	2524	11270
183	2539	11263
184	2553	11248
185	2566	11233
186	2580	11218
187	2594	11206
188	2606	11186
189	2620	11170
190	2633	11155
191	2646	11139
192	2659	11120
193	2672	11104
194	2687	11092
195	2700	11078
196	2713	11060
197	2726	11043
198	2739	11027
199	2753	11015
200	2769	11009
201	2783	10995
202	2797	10984
203	2810	10965
204	2824	10952
205	2837	10937
206	2851	10923
207	2863	10904
208	2876	10888
209	2889	10871
210	2902	10852
211	2915	10835
212	2927	10817
213	2941	10805
214	2954	10787
215	2968	10774
216	2982	10761
217	2996	10748
218	3010	10735
219	3023	10721
220	3039	10712
221	3052	10696
222	3066	10684
223	3078	10665
224	3094	10658
225	3107	10643
226	3121	10628
227	3134	10612
228	3147	10597
229	3160	10579
230	3173	10563
231	3186	10548
232	3199	10533
233	3212	10516
234	3226	10504
235	3240	10488
236	3252	10470
237	3264	10452
238	3278	10437
239	3291	10422
240	3305	10409
241	3317	10391
242	3331	10377
243	3346	10369
244	3359	10352
245	3371	10333
246	3384	10317
247	3396	10299
248	3410	10285
249	3425	10275
250	3438	10260
251	3451	10244
252	3465	10233
253	3479	10219
254	3492	10204
255	3507	10193
256	3522	10182
257	3535	10169
258	3550	10156
259	3563	10142
260	3578	10131
261	3591	10116
262	3605	10103
263	3619	10090
264	3633	10078
265	3648	10066
266	3661	10050
267	3675	10038
268	3688	10024
269	3701	10007
270	3714	9993
271	3728	9977
272	3741	9962
273	3753	9946
274	3767	9933
275	3780	9917
